Waste Tape Box AA7XN00,9900
Anti-Vibrating Pad PG01900,1400
PG05500 Special Pad for 2M III Base,5200
Special leveling sheet for 2M III Base,57800
Anchor Kit (For securing 2M III Base to floor in stand alone configuration),83600
Left Side Cover  with window,208000
Right Side Cover with window,208000
Intermediate Cover and connecting BKT between NXTIII bases ,248000
SMEMA Cable (1m) RH39020 ,14900
SMEMA Cable (1.5m) RH21380,15200
