ModuleID,Module,ModuleType
1,M3,M3
201,M3-2,M3II
501,M3-2c,M3IIc
601,M3-3,M3III
701,M3-3c,M3IIIc
101,M3S,M3S
2,M6,M6
202,M6-2,M6II
502,M6-2c,M6IIc
302,M6-2SP,M6IISP
602,M6-3,M6III
702,M6-3c,M6IIIc
902,M6-3L,M6IIIL
102,M6S,M6S
